PublishedAgo,Salary,Rating,Employer,JobTitle,Location,Size,Founded,Type,Industry,Sector,Revenue
12d,$121K - $163K (Employer est.),3.5,"Eightfold.AI
3.5",Machine Learning Engineer,"Santa Clara, CA",501 to 1000 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
20d,$139K - $209K (Employer est.),4.2,"Workday
4.2",Machine Learning Engineer - NLP - Workforce,"Atlanta, GA",10000+ Employees,2005,Company - Public,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD)
19d,-1,3.0,"Handshake
3.0",Staff+ Machine Learning Engineer - Generative AI,United States,51 to 200 Employees,2014,Company - Private,Colleges & Universities,Education,Unknown / Non-Applicable
30d+,$87K - $147K (Employer est.),4.2,"Affinity.co
4.2",Machine Learning Engineer,Remote,201 to 500 Employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
2d,$134K - $257K (Employer est.),4.3,"Microsoft
4.3","AI Designer, Industry Solutions Engineering","Houston, TX",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
9d,-1,3.9,"Medtronic
3.9",Computer Vision AI/ML Engineer,"Brooklyn Center, MN",10000+ Employees,1949,Company - Public,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD)
6d,$152K - $190K (Employer est.),3.9,"ITHAKA
3.9","Principal Engineer, Machine Learning","Ann Arbor, MI",201 to 500 Employees,1995,Nonprofit Organization,Internet & Web Services,Information Technology,$25 to $100 million (USD)
9d,$97K - $234K (Employer est.),4.0,"PayPal
4.0",AI Machine Learning Engineer,"San Jose, CA",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
24d,$121K - $174K (Glassdoor est.),4.2,"NOKIA
4.2",Software Engineering Coop,"Sunnyvale, CA",10000+ Employees,1865,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)
17d,$117K (Employer est.),3.9,"Zoom Video Communications, Inc.
3.9",Machine Learning Engineer,"San Francisco, CA",1001 to 5000 Employees,2011,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 billion (USD)
4d,$141K - $282K (Employer est.),4.4,"Adobe
4.4",Senior ML Engineer,"San Jose, CA",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD)
2d,$127K - $205K (Employer est.),4.3,"Palo Alto Networks
4.3",Senior Software Engineer (AI/ML),"Santa Clara, CA",10000+ Employees,2005,Company - Public,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD)
15d,$110K - $233K (Employer est.),4.1,"Stryker
4.1",Senior Staff Front-End Engineer,"Menlo Park, CA",10000+ Employees,1941,Company - Public,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD)
30d+,$117K - $214K (Employer est.),4.4,"Adobe
4.4",Machine Learning Engineer,"San Jose, CA",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD)
30d+,$121K - $239K (Employer est.),4.4,"Adobe
4.4",Research Scientist/Engineer,"San Jose, CA",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD)
30d+,-1,3.9,"EX2 Outcoding
3.9",Machine Learning Engineer,Remote,201 to 500 Employees,2002,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,Unknown / Non-Applicable
30d+,-1,4.1,"Level AI
4.1","Machine Learning Engineer - NLP (Remote, US)",Remote,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
30d+,$160K - $190K (Employer est.),5.0,"Runway AI
5.0",Staff Frontend Engineer,Remote,1 to 50 Employees,2018,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable
30d+,-1,4.5,"Dropbox
4.5","Director of Engineering, New AI Initiatives",Remote,1001 to 5000 Employees,2007,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
18d,-1,4.5,"Dropbox
4.5","Principal Software Engineer, New Initiatives",United States,1001 to 5000 Employees,2007,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
3d,$173K - $241K (Employer est.),3.9,"Meta
3.9","Software Engineer, Machine Learning - Generative AI","Menlo Park, CA",10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
30d+,-1,4.5,"Dropbox
4.5","Principal Machine Learning Engineer, New Initiatives",Remote,1001 to 5000 Employees,2007,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
2d,$134K - $257K (Employer est.),4.3,"Microsoft
4.3","AI Designer, Industry Solutions Engineering","Houston, TX",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
30d+,$136K - $194K (Glassdoor est.),3.5,"Discord
3.5",Staff Software Engineer - Applied Machine Learning,"San Francisco, CA",501 to 1000 Employees,2015,Company - Private,Internet & Web Services,Information Technology,$25 to $100 million (USD)
2d,$134K - $257K (Employer est.),4.3,"Microsoft
4.3","Machine Learning Engineer, Industry Solutions Engineering","Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
9d,$171K - $236K (Employer est.),3.6,"Sephora USA
3.6","Principal Engineer, ML","San Francisco, CA",10000+ Employees,1969,Company - Private,Beauty & Personal Accessories Stores,Retail & Wholesale,$1 to $5 billion (USD)
9d,-1,3.9,"Medtronic
3.9",Computer Vision AI/ML Engineer,"Brooklyn Center, MN",10000+ Employees,1949,Company - Public,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD)
20d,$139K - $209K (Employer est.),4.2,"Workday
4.2",Machine Learning Engineer - NLP - Workforce,"Atlanta, GA",10000+ Employees,2005,Company - Public,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD)
30d+,$160K - $190K (Employer est.),5.0,"Runway AI
5.0",Staff Frontend Engineer,Remote,1 to 50 Employees,2018,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable
19d,-1,3.0,"Handshake
3.0",Staff+ Machine Learning Engineer - Generative AI,United States,51 to 200 Employees,2014,Company - Private,Colleges & Universities,Education,Unknown / Non-Applicable
